AGE,GENDER,CAREER,ACAD_LEVEL,ACAD_LOAD,HOURS_ENROLLED,ACAD_ORG,TRANSACTION_AMOUNT,TANSACTION_COUNT
54,Male,Undergraduate,5th Year Undergraduate,Less than Half-Time,2,SUNY at Buffalo,0,1
47,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,SUNY at Brockport,24,16
31,Female,Undergraduate,Junior,Less than Half-Time,5,Syracuse University,15.92,34
34,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,SUNY at Brockport,253.22,192
32,Male,Undergraduate,Junior,Enrolled Half-Time,7,SUNY at Brockport,3.04,16
30,Female,Graduate,Graduate,Enrolled Half-Time,6,College of Business Administration,5.99,8
37,Male,Undergraduate,Junior,Less than Half-Time,1,Syracuse University,349.31,67
43,Female,Graduate,Graduate,Enrolled Full-Time,15,Health Sciences & Human Services,7.07,12
50,Female,Undergraduate,Freshman,Enrolled Half-Time,8,Syracuse University,101.98,51
33,Male,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,72.78,39
30,Female,Graduate,Graduate,Enrolled Full-Time,9,College of Education,42.11,81
30,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,18,SUNY at Buffalo,56.74,86
38,Female,Undergraduate,Freshman,Enrolled Full-Time,12,Syracuse University,17.28,25
40,Male,Graduate,Graduate,Less than Half-Time,1,College of Engineering,0,1
34,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,107.22,78
47,Female,Undergraduate,Senior,Less than Half-Time,5,College of Business Administration,7.28,24
31,Male,Undergraduate,Sophomore,Three Quarter Time,9,Syracuse University,9.15,32
28,Female,Undergraduate,Senior,Three Quarter Time,10,SUNY at Buffalo,9.03,30
29,Female,Graduate,Graduate,Less than Half-Time,3,SUNY at Buffalo,27.44,71
50,Female,Undergraduate,Senior,Enrolled Half-Time,7,SUNY at Buffalo,35.05,61
34,Female,Undergraduate,Senior,Enrolled Full-Time,12,College of Nursing,93.92,32
33,Female,Undergraduate,Senior,Enrolled Full-Time,12,SUNY at Buffalo,97.48,85
29,Female,Graduate,Graduate,Enrolled Full-Time,9,College of Nursing,13.51,36
28,Female,Graduate,Graduate,Less than Half-Time,3,College of Health Professions,4.48,15
33,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,SUNY at Buffalo,76.13,93
30,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Education,7.29,4
30,Female,Undergraduate,Freshman,Enrolled Full-Time,13,Syracuse University,6.37,23
28,Male,Undergraduate,Senior,Enrolled Half-Time,8,SUNY at Buffalo,39,26
31,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,16,Syracuse University,7.94,8
30,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,College of Business Administration,21.27,53
30,Male,Undergraduate,Sophomore,Enrolled Half-Time,6,Syracuse University,0,3
33,Female,Graduate,Graduate,Less than Half-Time,3,College of Education,65.95,27
37,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Business Administration,9.4,17
38,Female,Graduate,Graduate,Enrolled Half-Time,6,SUNY at Buffalo,88.75,10
53,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,College of Business Administration,162.8,245
41,Female,Undergraduate,Sophomore,Enrolled Full-Time,13,Syracuse University,53.42,44
37,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,8,SUNY at Buffalo,6.97,28
30,Male,Undergraduate,Senior,Enrolled Full-Time,15,SUNY at Buffalo,28.89,110
38,Female,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,83.25,179
35,Female,Undergraduate,Junior,Three Quarter Time,11,Syracuse University,1.68,3
33,Female,Undergraduate,Sophomore,Enrolled Full-Time,14,University College,0.49,1
28,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,College of Business Administration,10,13
30,Male,Law,Law Day - Year 3,Enrolled Full-Time,15,School of Law,21.3,28
53,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,Health Sciences & Human Services,16.68,80
30,Male,Graduate,Graduate,Enrolled Half-Time,6,College of Education,37.57,40
36,Male,Graduate,Graduate,Enrolled Half-Time,6,Creative & Professional Arts,29.02,68
43,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,Syracuse University,35.74,54
41,Male,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,28.93,91
46,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,Syracuse University,76.18,49
37,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,Health Sciences & Human Services,21.82,24
44,Female,Undergraduate,Sophomore,Less than Half-Time,3,University College,4.8,5
52,Female,Undergraduate,Junior,Enrolled Full-Time,12,Syracuse University,106.17,51
50,Female,Graduate,Graduate,Less than Half-Time,4,College of Health Professions,4.41,6
50,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,SUNY at Buffalo,49.41,29
42,Male,Undergraduate,Sophomore,Enrolled Half-Time,7,SUNY at Brockport,628.42,173
43,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,College of Education,59.8,14
49,Female,Undergraduate,Sophomore,Enrolled Half-Time,6,SUNY at Buffalo,51.15,65
45,Female,Graduate,Graduate,Enrolled Full-Time,12,College of Health Professions,8.81,21
44,Female,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,60.81,15
41,Female,Graduate,Graduate,Enrolled Half-Time,6,SUNY at Buffalo,19.03,28
35,Male,Undergraduate,Senior,Enrolled Full-Time,15,SUNY at Brockport,61.89,206
48,Male,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,Syracuse University,0,1
49,Male,Undergraduate,Senior,Enrolled Half-Time,6,University College,0.56,6
53,Female,Graduate,Graduate,Less than Half-Time,3,SUNY at Buffalo,49.26,26
56,Male,Undergraduate,Junior,Enrolled Half-Time,6,Syracuse University,29.48,105
63,Male,Undergraduate,5th Year Undergraduate,No Unit Load,3,SUNY at Brockport,55.53,131
49,Female,Graduate,Graduate,Enrolled Half-Time,6,College of Business Administration,70.7,101
48,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,8,College of Business Administration,7.4,19
53,Female,Graduate,Graduate,Less than Half-Time,3,SUNY at Buffalo,49.39,50
50,Female,Graduate,Graduate,Less than Half-Time,3,College of Education,1.89,8
51,Female,Undergraduate,Sophomore,Enrolled Half-Time,6,Syracuse University,8.58,19
28,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,7,SUNY at Buffalo,26.79,88
28,Female,Undergraduate,Senior,Less than Half-Time,3,SUNY at Brockport,10.09,20
29,Male,Law,Law Evening - Year 3,Less than Half-Time,4,School of Law,19.69,51
31,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,SUNY at Buffalo,106.01,323
34,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Engineering,25.48,45
32,Male,Undergraduate,Freshman,Enrolled Full-Time,13,Syracuse University,78.06,189
30,Male,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,SUNY at Buffalo,28.12,71
65,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,Health Sciences & Human Services,1.4,5
29,Male,Undergraduate,Senior,Enrolled Half-Time,8,College of Engineering,2.38,6
29,Male,Undergraduate,Junior,Enrolled Full-Time,15,Syracuse University,20.8,111
28,Male,Undergraduate,Junior,Three Quarter Time,10,SUNY at Brockport,19.62,52
30,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,16,Syracuse University,45.2,149
28,Female,Undergraduate,Junior,Three Quarter Time,9,SUNY at Buffalo,0.42,1
44,Male,Undergraduate,Senior,Enrolled Full-Time,13,College of Health Professions,11.22,37
28,Female,Undergraduate,Sophomore,Enrolled Half-Time,7,SUNY at Brockport,0.61,9
29,Male,Graduate,Graduate,Enrolled Half-Time,6,College of Education,1.61,5
28,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,Syracuse University,21.46,85
34,Male,Undergraduate,Freshman,Enrolled Half-Time,7,Syracuse University,82.37,38
25,Male,Law,Law Day - Year 3,Enrolled Full-Time,13,School of Law,119.56,131
22,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Education,102.82,31
24,Female,Undergraduate,Senior,Less than Half-Time,5,Syracuse University,38.65,99
27,Male,Graduate,Graduate,Enrolled Half-Time,6,College of Education,177.63,34
33,Female,Undergraduate,Sophomore,Enrolled Half-Time,8,College of Health Professions,3.05,4
23,Male,Law,Law Day - Year 3,Enrolled Full-Time,13,School of Law,7.07,25
23,Female,Graduate,Graduate,Enrolled Full-Time,9,College of Business Administration,25.99,64
25,Male,Law,Law Day - Year 3,Enrolled Full-Time,10,School of Law,77.05,101
26,Female,Law,Law Evening - Year 4,Enrolled Full-Time,9,School of Law,183.92,168
28,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,44.37,96
27,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,Syracuse University,17.58,22
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,College of Engineering,567.58,160
25,Female,Graduate,Graduate,Less than Half-Time,3,College of Education,22.66,47
24,Female,Law,Law Evening - Year 1,Enrolled Full-Time,9,School of Law,9.48,6
26,Male,Law,Law Day - Year 3,Enrolled Full-Time,13,School of Law,274.65,176
27,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,Syracuse University,5.46,27
25,Male,Law,Law Day - Year 3,Enrolled Full-Time,14,School of Law,55.95,18
25,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,14,College of Nursing,20,30
25,Male,Law,Law Day - Year 3,Enrolled Full-Time,12,School of Law,24.54,79
28,Male,Undergraduate,Senior,Three Quarter Time,9,SUNY at Brockport,21.01,5
27,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,SUNY at Buffalo,228.33,78
27,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,Syracuse University,2.59,18
26,Female,Graduate,Graduate,Less than Half-Time,1,College of Engineering,266.65,42
24,Female,Undergraduate,Senior,Three Quarter Time,10,SUNY at Buffalo,116.95,65
24,Female,Undergraduate,Freshman,Less than Half-Time,3,University College,119.12,123
32,Male,Graduate,Graduate,Enrolled Full-Time,9,College of Business Administration,36.71,59
26,Male,Graduate,Graduate,Enrolled Full-Time,9,Creative & Professional Arts,80.66,164
24,Female,Graduate,Graduate,Enrolled Full-Time,17,College of Education,6.09,34
29,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Education,4.96,19
50,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,College of Health Professions,14.14,86
27,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,20,College of Education,60.26,122
27,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,14,SUNY at Buffalo,510.59,270
28,Female,Undergraduate,Sophomore,Enrolled Half-Time,6,Syracuse University,22.88,107
26,Male,Undergraduate,Junior,Less than Half-Time,3,Syracuse University,5.18,8
26,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,7,SUNY at Buffalo,283.4,120
27,Female,Undergraduate,Senior,Three Quarter Time,10,College of Health Professions,109.66,167
28,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,College of Education,5.45,22
25,Male,Undergraduate,5th Year Undergraduate,No Unit Load,0,College of Engineering,20.19,89
29,Female,Undergraduate,Freshman,Enrolled Full-Time,12,University College,8.36,13
29,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Business Administration,15.61,66
26,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,22.05,43
25,Male,Graduate,Graduate,Enrolled Full-Time,9,College of Education,1.43,6
36,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,14,SUNY at Buffalo,30.37,18
42,Female,Graduate,Graduate,Less than Half-Time,3,Provost's office,121.46,46
25,Female,Law,Law Evening - Year 4,Enrolled Half-Time,8,School of Law,87.36,110
29,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,7,University College,23.53,204
27,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,College of Health Professions,3.54,14
26,Male,Law,Law Day - Year 3,Enrolled Half-Time,8,School of Law,19.57,30
26,Male,Undergraduate,Senior,Three Quarter Time,10,SUNY at Buffalo,175.71,83
25,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,7,SUNY at Buffalo,0.98,5
27,Female,Graduate,Graduate,Less than Half-Time,3,College of Education,10.7,17
27,Male,Undergraduate,Senior,Enrolled Full-Time,14,College of Business Administration,2.66,5
26,Female,Undergraduate,Sophomore,Enrolled Full-Time,12,College of Health Professions,144.06,161
25,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,College of Education,3.78,16
28,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,Syracuse University,33.12,74
25,Male,Undergraduate,Junior,Enrolled Half-Time,7,Syracuse University,3060.14,43
28,Female,Undergraduate,Senior,Enrolled Half-Time,6,SUNY at Buffalo,16.58,32
29,Female,Undergraduate,Junior,Enrolled Half-Time,7,Syracuse University,1.98,8
26,Female,Law,Law Day - Year 3,Enrolled Full-Time,15,School of Law,41.2,86
28,Female,Undergraduate,Senior,Enrolled Full-Time,12,College of Health Professions,131.83,51
24,Female,Law,Law Day - Year 3,Enrolled Full-Time,12,School of Law,124.46,119
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Business Administration,29.3,20
24,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,SUNY at Buffalo,45.17,7
28,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Health Professions,50.1,65
26,Male,Graduate,Graduate,Less than Half-Time,3,College of Education,56.9,21
26,Male,Undergraduate,Senior,Enrolled Full-Time,12,SUNY at Buffalo,4.44,18
25,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,Syracuse University,3.02,6
26,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,Syracuse University,9.57,54
75,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Health Professions,136.77,108
26,Male,Undergraduate,Senior,Enrolled Full-Time,16,SUNY at Buffalo,18.77,40
24,Male,Undergraduate,Senior,Enrolled Full-Time,15,SUNY at Buffalo,7.35,33
24,Female,Undergraduate,Senior,Three Quarter Time,10,SUNY at Buffalo,21.83,80
24,Male,Law,Law Day - Year 1,Enrolled Full-Time,14,School of Law,32.45,44
26,Male,Graduate,Graduate,Enrolled Half-Time,6,SUNY at Buffalo,4.75,13
23,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,82.27,71
25,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,Syracuse University,7.35,34
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Education,3.46,5
46,Male,Law,Law Evening - Year 4,Enrolled Half-Time,8,School of Law,103.4,46
23,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,College of Business Administration,15.05,23
25,Male,Graduate,Graduate,Enrolled Full-Time,9,College of Education,1280.99,84
25,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Health Professions,81.74,79
24,Male,Undergraduate,Sophomore,Three Quarter Time,9,University College,0,3
25,Male,Law,Law Day - Year 3,Enrolled Half-Time,8,School of Law,309.92,60
24,Male,Law,Law Day - Year 3,Enrolled Full-Time,14,School of Law,116.4,174
24,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,College of Engineering,0,9
23,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,SUNY at Buffalo,10.15,71
22,Female,Graduate,Graduate,Enrolled Full-Time,12,Health Sciences & Human Services,47.25,59
23,Male,Undergraduate,5th Year Undergraduate,Less than Half-Time,4,SUNY at Buffalo,17.03,38
24,Female,Graduate,Graduate,Enrolled Half-Time,6,College of Education,6.2,6
21,Female,Undergraduate,Freshman,Less than Half-Time,3,Syracuse University,1.26,14
24,Male,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,10.78,23
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,Health Sciences & Human Services,47.42,24
24,Male,Undergraduate,Senior,Enrolled Half-Time,6,College of Business Administration,37.84,149
28,Male,Undergraduate,Freshman,Enrolled Full-Time,12,Syracuse University,1.06,9
23,Female,Graduate,Graduate,Enrolled Full-Time,12,Health Sciences & Human Services,69.84,97
26,Male,Graduate,Graduate,Enrolled Full-Time,9,College of Business Administration,1.47,15
28,Male,Graduate,Graduate,Enrolled Half-Time,6,College of Business Administration,15.68,6
23,Female,Undergraduate,Senior,Less than Half-Time,1,SUNY at Buffalo,20.3,98
22,Male,Undergraduate,Senior,Enrolled Full-Time,13,College of Nursing,0.84,3
24,Male,Undergraduate,Senior,Three Quarter Time,9,SUNY at Buffalo,1.1,5
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Business Administration,7.57,13
24,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,College of Health Professions,9.47,27
45,Male,Undergraduate,Freshman,Enrolled Half-Time,7,Syracuse University,1.5,1
26,Female,Undergraduate,Freshman,Enrolled Full-Time,13,University College,10.31,51
23,Male,Undergraduate,Senior,Enrolled Full-Time,15,Creative & Professional Arts,0.49,7
28,Female,Undergraduate,Sophomore,Enrolled Half-Time,7,Syracuse University,47.86,13
23,Female,Undergraduate,Senior,Enrolled Full-Time,12,College of Business Administration,19.54,86
29,Male,Graduate,Graduate,Enrolled Full-Time,12,College of Engineering,26.45,93
23,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,SUNY at Brockport,37.8,110
25,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,College of Education,6.09,17
23,Female,Undergraduate,Freshman,Enrolled Full-Time,16,University College,1.05,7
31,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,College of Health Professions,54.15,86
25,Female,Undergraduate,Freshman,Enrolled Full-Time,13,University College,2.89,4
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Education,4.06,16
22,Female,Undergraduate,Senior,Enrolled Half-Time,7,SUNY at Buffalo,1.26,15
22,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,18,College of Engineering,3.99,14
25,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,Syracuse University,24.75,16
29,Female,Undergraduate,Sophomore,Enrolled Half-Time,6,Syracuse University,5.39,18
26,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,College of Education,25.39,60
25,Male,Undergraduate,Senior,Less than Half-Time,3,College of Business Administration,704.57,149
24,Male,Undergraduate,Senior,Enrolled Half-Time,7,SUNY at Buffalo,20.69,29
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,7,SUNY at Buffalo,2.18,23
24,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,SUNY at Buffalo,5.1,57
28,Male,Undergraduate,Junior,Three Quarter Time,11,SUNY at Buffalo,128.19,100
24,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,4,University College,0.91,5
23,Male,Undergraduate,Senior,Enrolled Full-Time,18,College of Engineering,1.16,1
27,Female,Undergraduate,Sophomore,Enrolled Full-Time,12,Syracuse University,3.37,25
25,Female,Undergraduate,Freshman,Enrolled Full-Time,13,SUNY at Brockport,2.59,16
23,Female,Undergraduate,Senior,Three Quarter Time,11,Health Sciences & Human Services,4.76,7
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,Syracuse University,6.65,8
25,Male,Undergraduate,Senior,Less than Half-Time,4,College of Education,96.24,26
25,Male,Undergraduate,Senior,Three Quarter Time,10,SUNY at Brockport,0.48,3
24,Female,Graduate,Graduate,Enrolled Full-Time,9,College of Business Administration,609.45,159
30,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,8,SUNY at Buffalo,163.46,124
24,Male,Undergraduate,Freshman,Enrolled Half-Time,6,University College,15.57,24
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,SUNY at Buffalo,21.11,57
22,Male,Undergraduate,Senior,Enrolled Half-Time,6,College of Business Administration,16.21,37
22,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,College of Engineering,20.7,21
22,Male,Graduate,Graduate,Enrolled Full-Time,12,College of Business Administration,53.09,20
23,Male,Undergraduate,5th Year Undergraduate,No Unit Load,0,College of Engineering,11.49,13
23,Female,Undergraduate,Senior,Enrolled Full-Time,16,SUNY at Buffalo,32.18,94
38,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Business Administration,17.07,18
25,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,14,SUNY at Buffalo,14.7,43
21,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,16,Syracuse University,1.05,17
22,Female,Undergraduate,Senior,Enrolled Half-Time,7,SUNY at Buffalo,39.95,173
24,Female,Undergraduate,Senior,Enrolled Full-Time,17,SUNY at Buffalo,16.31,40
24,Male,Undergraduate,Senior,Enrolled Full-Time,15,College of Business Administration,35.06,53
24,Male,Law,Law Evening - Year 1,Less than Half-Time,2,School of Law,48.05,114
23,Male,Law,Law Day - Year 1,Enrolled Full-Time,16,School of Law,3.35,19
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,14,SUNY at Buffalo,6.44,9
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,Syracuse University,0.71,7
22,Female,Undergraduate,Senior,Three Quarter Time,9,College of Business Administration,10.77,46
22,Male,Undergraduate,Senior,Enrolled Full-Time,23,College of Education,35.05,64
24,Female,Undergraduate,Sophomore,Enrolled Full-Time,14,SUNY at Buffalo,13.13,26
24,Male,Undergraduate,Freshman,Enrolled Full-Time,12,Syracuse University,33.33,30
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,University College,18.02,55
25,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,College of Health Professions,54.6,76
24,Male,Undergraduate,Sophomore,Less than Half-Time,4,Syracuse University,0,1
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Education,1.68,8
26,Male,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Brockport,105.07,136
22,Male,Undergraduate,Senior,Enrolled Full-Time,16,College of Engineering,0.63,15
25,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,College of Health Professions,22.94,43
29,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Binghamton,335.17,71
27,Male,Undergraduate,Junior,Enrolled Full-Time,12,College of Business Administration,1612.88,412
38,Female,Graduate,Graduate,Enrolled Full-Time,12,College of Health Professions,18.73,28
21,Male,Undergraduate,Sophomore,Three Quarter Time,10,Syracuse University,48.06,177
24,Female,Undergraduate,Senior,Enrolled Half-Time,6,SUNY at Buffalo,3.22,19
24,Male,Undergraduate,Freshman,Enrolled Full-Time,12,University College,0.49,4
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,SUNY at Buffalo,35.1,94
22,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,21,College of Business Administration,8.01,42
24,Male,Undergraduate,Junior,Enrolled Full-Time,13,College of Business Administration,3.67,18
23,Male,Graduate,Graduate,Enrolled Full-Time,12,College of Business Administration,20.36,92
25,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Business Administration,24.43,25
22,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Education,173.89,78
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,College of Health Professions,60.97,132
23,Female,Undergraduate,Senior,Enrolled Full-Time,15,College of Health Professions,110.75,164
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,8,Syracuse University,3.04,34
23,Female,Undergraduate,Senior,Enrolled Full-Time,16,Creative & Professional Arts,0.28,11
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,16,College of Engineering,0,2
24,Female,Undergraduate,Sophomore,Three Quarter Time,9,College of Health Professions,3.85,8
23,Female,Undergraduate,Senior,Three Quarter Time,11,Syracuse University,6.02,5
23,Male,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,3.13,20
23,Male,Undergraduate,Senior,Enrolled Full-Time,13,Syracuse University,105.44,16
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,16,SUNY at Buffalo,5.84,36
22,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,SUNY at Buffalo,15.47,51
22,Male,Undergraduate,Senior,Enrolled Full-Time,16,SUNY at Buffalo,9.55,16
22,Female,Graduate,Graduate,Enrolled Full-Time,10,College of Business Administration,2.56,14
43,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,SUNY at Buffalo,37.75,69
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,SUNY at Buffalo,1118.28,117
23,Female,Undergraduate,Sophomore,Less than Half-Time,3,SUNY at Brockport,13.04,38
22,Female,Undergraduate,Senior,Enrolled Full-Time,16,College of Education,36.22,63
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Engineering,0,3
20,Female,Undergraduate,Freshman,Enrolled Full-Time,13,SUNY at Brockport,55.75,56
22,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Education,109.81,18
34,Female,Graduate,Graduate,Enrolled Full-Time,15,College of Health Professions,35.26,42
24,Male,Graduate,Graduate,Enrolled Half-Time,6,College of Education,0.28,1
26,Male,Undergraduate,5th Year Undergraduate,No Unit Load,0,College of Engineering,49.79,25
23,Male,Undergraduate,Senior,Enrolled Half-Time,7,SUNY at Buffalo,3.29,19
22,Female,Undergraduate,Senior,Three Quarter Time,11,College of Education,20.34,55
23,Male,Undergraduate,Senior,Enrolled Full-Time,19,SUNY at Buffalo,223.36,296
22,Female,Undergraduate,Senior,Less than Half-Time,4,Syracuse University,18.4,53
22,Male,Undergraduate,Senior,No Unit Load,0,College of Engineering,1520.78,196
24,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,SUNY at Buffalo,1163.68,188
22,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,Health Sciences & Human Services,18.31,31
24,Female,Graduate,Graduate,Enrolled Full-Time,15,College of Health Professions,9.59,37
24,Male,Graduate,Graduate,Enrolled Full-Time,13,College of Business Administration,4.3,15
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,College of Engineering,238.89,57
22,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,Health Sciences & Human Services,14,33
22,Male,Undergraduate,Senior,No Unit Load,0,College of Engineering,976.63,202
24,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,SUNY at Buffalo,32.82,49
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Engineering,1.9,5
25,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Business Administration,1.01,8
21,Male,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,1.77,12
23,Male,Graduate,Graduate,Enrolled Full-Time,15,College of Engineering,41.5,28
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,15,College of Education,15.8,62
22,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,SUNY at Buffalo,39.96,26
23,Female,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,12.97,18
23,Male,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,SUNY at Buffalo,128.68,30
22,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,College of Nursing,0.77,7
