AGE,GENDER,CAREER,ACAD_LEVEL,ACAD_LOAD,HOURS_ENROLLED,ACAD_ORG,TRANSACTION_AMOUNT,TANSACTION_COUNT
25,Male,Undergraduate,Freshman,Enrolled Half-Time,7,University College,38.27,63
41,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,20.04,4
42,Male,Undergraduate,Sophomore,Less than Half-Time,3,Syracuse University,0,1
22,Female,Undergraduate,Junior,Enrolled Full-Time,12,Syracuse University,19.56,49
26,Female,Undergraduate,Sophomore,Enrolled Full-Time,13,University College,31.23,26
20,Female,Undergraduate,Sophomore,Enrolled Full-Time,13,SUNY at Brockport,918.41,211
24,Male,Graduate,Graduate,Enrolled Full-Time,12,College of Business Administration,46.06,102
19,Male,Undergraduate,Freshman,Enrolled Full-Time,12,College of Health Professions,1277.34,205
56,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,7,Syracuse University,39.65,146
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,16,SUNY at Buffalo,2464.62,37
19,Male,Undergraduate,Freshman,Enrolled Full-Time,13,University College,8.56,42
19,Male,Undergraduate,Freshman,Enrolled Full-Time,14,Syracuse University,320.79,35
21,Female,Undergraduate,Freshman,Enrolled Full-Time,14,University College,240.08,26
27,Male,Law,Law Evening - Year 4,Enrolled Full-Time,10,School of Law,8.52,14
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,8,Syracuse University,0,3
21,Female,Undergraduate,Senior,Enrolled Full-Time,15,SUNY at Buffalo,25.44,11
21,Female,Undergraduate,Freshman,Three Quarter Time,11,Syracuse University,172.78,52
21,Male,Undergraduate,Junior,Enrolled Full-Time,15,College of Business Administration,6.19,15
23,Female,Graduate,Graduate,Enrolled Full-Time,12,SUNY at Buffalo,2.81,9
20,Female,Undergraduate,Sophomore,Less than Half-Time,4,SUNY at Brockport,4.42,3
19,Female,Undergraduate,Freshman,Enrolled Full-Time,13,Syracuse University,1269.05,182
18,Male,Undergraduate,Freshman,Three Quarter Time,9,Syracuse University,1360.06,186
19,Female,Undergraduate,Freshman,Enrolled Half-Time,7,Syracuse University,328.09,83
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,Syracuse University,47.62,59
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,16,Syracuse University,3.07,39
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,13,SUNY at Brockport,305.95,75
24,Male,Law,Law Day - Year 3,Enrolled Full-Time,15,School of Law,29.6,50
21,Male,Undergraduate,Junior,Enrolled Full-Time,12,SUNY at Buffalo,1181.79,272
19,Female,Undergraduate,Freshman,Enrolled Full-Time,14,Syracuse University,3.5,14
24,Female,Graduate,Graduate,Less than Half-Time,3,College of Business Administration,22.29,63
17,Male,Undergraduate,Freshman,Enrolled Full-Time,14,SUNY at Brockport,7.77,31
39,Male,Undergraduate,Sophomore,Enrolled Full-Time,13,SUNY at Brockport,6.02,15
19,Male,Undergraduate,Sophomore,Enrolled Full-Time,15,SUNY at Brockport,1018.08,98
26,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,College of Engineering,8.78,27
24,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,14,College of Business Administration,2.7,5
21,Female,Undergraduate,Junior,Enrolled Full-Time,15,College of Health Professions,0.21,1
